FIPS,insurance,cancer,UrbanIntense,NoInternet,UNEMP,singleparent,LimEnglish,Housing_T,NDVI,VacantH,asthma,X,Y
21013,14.6,6.6,0.002,0.356,0.8949,0.6399,0.1477,0.9039,0.747708333,0.172,12.9,-83.67409506,36.73064825
21015,8.1,6.6,0.033,0.083,0.2924,0.653,0.6905,0.0977,0.471896429,0.052,9.5,-84.72784812,38.96986448
21017,11.3,6.5,0.002,0.272,0.6545,0.7112,0.8192,0.1738,0.644546667,0.103,10.9,-84.21713995,38.20672995
21019,10,6.5,0.021,0.193,0.8949,0.7469,0.0707,0.7657,0.574588889,0.133,11.1,-82.68772581,38.35957247
21021,10.2,6.5,0.007,0.21,0.3634,0.4518,0.4642,0.4155,0.64521,0.118,10.7,-84.86682038,37.62436023
21023,10.8,6.5,0.001,0.292,0.5006,0.1573,0.1477,0.4884,0.577035,0.127,10.9,-84.09019067,38.68881297
21025,13.2,6.6,0.001,0.351,0.965,0.5053,0,0.9249,0.754313462,0.158,12.5,-83.3240853,37.52161714
21027,11.1,6.5,0.001,0.265,0.8541,0.1337,0.4187,0.7498,0.486725,0.288,10.8,-86.42927754,37.77326768
21029,9.7,6.6,0.009,0.143,0.3838,0.5775,0.227,0.064,0.723529412,0.057,10.5,-85.69585703,37.97007577
21031,12.2,6.6,0.001,0.326,0.5854,0.6065,0.7326,0.6641,0.516691489,0.159,11.3,-86.68175556,37.20728081
21033,10.7,6.5,0.001,0.241,0.4166,0.4518,0.1477,0.5138,0.285331579,0.176,10.8,-87.86790577,37.14533323
21035,9.4,6.5,0.003,0.182,0.4166,0.2385,0.3582,0.8026,0.278590909,0.218,10.6,-88.27220112,36.62110128
21037,8.4,6.6,0.018,0.159,0.3299,0.4712,0.227,0.6778,0.587717647,0.095,9.9,-84.37969582,38.94647678
21039,11.8,6.6,0.001,0.241,0.5669,0.1812,0.1477,0.178,0.413312,0.18,11.4,-88.97105879,36.85321638
21041,12.8,6.5,0.008,0.335,0.8949,0.7112,0.5492,0.8621,0.70906875,0.154,11.3,-85.12359003,38.66785841
21043,12.1,6.7,0.002,0.331,0.815,0.6832,0.1477,0.7991,0.664191111,0.201,11.8,-83.04953383,38.31817284
21045,13,6.6,0.001,0.297,0.8541,0.1022,0.297,0.5594,0.750714286,0.156,11.9,-84.92836815,37.32228245
21047,11.8,6.3,0.005,0.23,0.8541,0.9019,0.5113,0.9306,0.204855405,0.141,11.1,-87.49038056,36.89418074
21049,10.2,6.6,0.008,0.215,0.5854,0.8077,0.5791,0.4772,0.615344444,0.089,10.8,-84.14739941,37.97085187
21051,15.6,6.6,0.001,0.281,0.9487,0.5597,0.1477,0.9898,0.793238462,0.152,12.6,-83.71466268,37.15969756
21053,13.2,6.6,0.002,0.429,0.7583,0.5938,0.0707,0.7125,0.40256087,0.276,12.1,-85.13601356,36.72748163
21055,11.2,6.5,0,0.337,0.2455,0.2216,0.4187,0.4419,0.625122222,0.207,11.1,-88.09722265,37.35271527
21057,11.6,6.6,0.001,0.348,0.5172,0.2385,0,0.4632,0.689936111,0.244,11.5,-85.38844859,36.78652969
21059,9.5,6.6,0.008,0.178,0.4876,0.8185,0.5492,0.7071,0.742407547,0.073,10.3,-87.08722692,37.73177251
21061,11.9,6.5,0,0.22,0.8803,0.1102,0.227,0.588,0.559491429,0.255,11.4,-86.23862015,37.20884021
21063,13.7,6.4,0,0.356,0.3634,0.8185,0.1477,0.6775,0.60328,0.248,11.3,-83.09761634,38.11789168
21065,13.2,6.5,0.002,0.308,0.9694,0.7584,0,0.6119,0.580296429,0.203,11.9,-83.96433023,37.69248147
21067,9.3,6.4,0.035,0.117,0.4876,0.6399,0.8112,0.7701,0.585725806,0.084,10.4,-84.45872219,38.04233026
21069,11.4,6.5,0.001,0.269,0.7232,0.6399,0.6087,0.4989,0.519856757,0.119,11.4,-83.69664408,38.37010681
21071,12.9,6.6,0.007,0.288,0.9662,0.5597,0.0707,0.9048,0.827902326,0.177,12.3,-82.74570414,37.55710851
