"","LocationName","Data_Value"
"612794","17031825600",12.4
"612825","17031827100",13
"612863","17031816200",9.2
"613011","17031817400",9.6
"613048","17031822900",9.6
"613232","17031830100",10.6
"613239","17031825303",9.2
"613261","17031829402",11.5
"613266","17031816800",9.5
"613299","17031827600",12.6
"613349","17031821002",10
"613375","17031812400",8.3
"613411","17031841700",12.6
"613437","17031825900",11.3
"613470","17031826600",13.3
"613482","17031814900",9.7
"613560","17031819100",9.2
"613625","17031823901",8.5
"613634","17031840200",7.5
"613637","17031831800",8.6
"613723","17031818300",9.8
"613728","17031830800",7.9
"613770","17031826902",13.6
"613778","17031830900",7.8
"613788","17031812700",9.3
"613789","17031822601",8.8
"613812","17031820901",9.8
"613814","17031814600",9.4
"613858","17031824113",9.2
"613860","17031813702",9.6
"613865","17031831900",7.8
"613884","17031816900",10.8
"613886","17031840400",8.2
"613937","17031812600",9.4
"613938","17031825505",11.2
"614012","17031826402",12.2
"614017","17031827802",10.7
"614029","17031822702",9.5
"614068","17031824400",11.2
"614075","17031838700",15.1
"614108","17031812900",8.4
"614170","17031839000",8.3
"614175","17031838600",15.1
"614229","17031822802",8.9
"614253","17031822500",9.3
"614265","17031832000",7.9
"614278","17031825700",11.6
"614297","17031842100",11.9
"614358","17031815100",8.5
"614390","17031828602",9.6
"614437","17031820902",9.2
"614512","17031826000",12.2
"614530","17031823303",10
"614561","17031831100",9
"614567","17031828701",10.4
"614588","17031841900",8.9
"614670","17031811000",8.7
"614711","17031813100",9
"614756","17031824108",9.4
"614798","17031830201",11.6
"614816","17031827000",13.4
"614843","17031838200",9.3
"614901","17031825801",12
"614936","17031829500",10.7
"614937","17031812301",8.4
"615004","17031833000",7.8
"615008","17031821401",11.8
"615034","17031813900",9.5
"615138","17031814800",8.9
"615168","17031821001",9.7
"615344","17031826303",12.4
"615357","17031835000",12.5
"615404","17031824701",9.5
"615427","17031837800",11.3
"615517","17031829902",10.7
"615529","17031838000",11.7
"615663","17031842500",16.5
"615821","17031822701",9.1
"615841","17031826401",12
"615945","17031824800",10.3
"615984","17031840700",9.5
"616013","17031823806",9.5
"616088","17031813200",8.6
"616090","17031837000",14
"616117","17031813802",9.1
"616124","17031815600",8.8
"616165","17031828401",9.4
"616224","17031839100",8
"616447","17031842000",9.2
"616454","17031815701",8.2
"616494","17031821200",10.8
"616565","17031819802",8.2
"616629","17031818700",8.8
"616700","17031843500",11.3
"616764","17031833300",8.9
"616802","17031829301",9.9
"616907","17031824107",8.6
"616921","17031828201",9.9
"616955","17031824114",8.4
"616964","17031811600",9.4
"617000","17031813301",9.7
"617057","17031826700",13
"617088","17031842800",9.6
"617113","17031825000",9.4
"617155","17031814000",8.9
"617181","17031820103",9.1
"617268","17031834500",13.5
"617281","17031842900",14.1
"617293","17031820300",9.7
"617313","17031814700",8.9
"617385","17031821800",9.3
"617454","17031820501",9.4
"617482","17031840100",7.6
"617508","17031824602",9.5
"617561","17031836700",14.3
"617591","17031819600",8.3
"617614","17031821700",8.9
"617651","17031839800",8.2
"617724","17031824006",8.8
"617793","17031820104",9.2
"617857","17031821402",11.6
"617924","17031824105",8.9
"617992","17031824601",9.4
"618045","17031830700",9.5
"618064","17031816000",8.8
"618144","17031822101",9.3
"618230","17031820502",9.9
"618259","17031829800",9.3
"618299","17031813600",8.8
"618309","17031820800",9.1
"618371","17031820201",8.5
"618436","17031828402",10.2
"618491","17031823903",8.7
"618498","17031815400",8.8
"618504","17031843200",8.6
"618514","17031819500",9.3
"618580","17031842600",8.9
"618622","17031838100",10.4
"618625","17031817900",11.1
"618632","17031824004",9.2
"618647","17031828000",10.5
"618729","17031836900",14.2
"618761","17031830500",9.9
"618787","17031831700",9
"618792","17031812500",9.9
"618936","17031823805",9.5
"618973","17031830400",10.9
"619049","17031825302",9.3
"619055","17031821300",10.6
"619119","17031841600",14.6
"619128","17031824121",9
"619147","17031843400",13.6
"619167","17031828202",9.9
"619199","17031824115",8.9
"619277","17031836600",10.3
"619314","17031824900",12.2
"619374","17031816401",8.9
"619376","17031829200",10.4
"619388","17031831200",9.1
"619397","17031840000",8.1
"619431","17031830008",11.3
"619490","17031825803",11.6
"619497","17031822602",9.4
